Path,Direct_Effect,Indirect_Effect,Total_Effect,Proportion_Mediated
road → traffic_safety_rating → V_img,0.0,0.00038785666898735413,0.00038785666898735413,1.0
road → social_safety_rating → V_img,0.0,0.0026694156578495744,0.0026694156578495744,1.0
road → beauty_rating → V_img,0.0,0.0028991413394699995,0.0028991413394699995,1.0
road → V_img (Total),0.060152549316208996,0.005956413666306928,0.06610896298251592,0.09009994103042038
car_pixels → traffic_safety_rating → V_img,0.0,0.0016306791249562295,0.0016306791249562295,1.0
car_pixels → social_safety_rating → V_img,0.0,0.0026999359500913616,0.0026999359500913616,1.0
car_pixels → beauty_rating → V_img,0.0,-0.011045156630559825,-0.011045156630559825,1.0
car_pixels → V_img (Total),-0.11218839955512028,-0.006714541555512234,-0.11890294111063252,0.05647077770149293
bicycle_pixels → traffic_safety_rating → V_img,0.0,-8.467979341384571e-05,-8.467979341384571e-05,1.0
bicycle_pixels → social_safety_rating → V_img,0.0,0.001422221152471487,0.001422221152471487,1.0
bicycle_pixels → beauty_rating → V_img,0.0,0.0007519561529545574,0.0007519561529545574,1.0
bicycle_pixels → V_img (Total),-0.022368355716260797,0.0020894975120121988,-0.020278858204248598,-0.10303822291012572
truck_pixels → traffic_safety_rating → V_img,0.0,0.0009376903117600517,0.0009376903117600517,1.0
truck_pixels → social_safety_rating → V_img,0.0,-1.1565528916019737e-05,-1.1565528916019737e-05,1.0
truck_pixels → beauty_rating → V_img,0.0,-0.008341413011085985,-0.008341413011085985,1.0
truck_pixels → V_img (Total),-0.13699971119508306,-0.007415288228241953,-0.144414999423325,0.051347077920247404
traffic_sign_pixels → traffic_safety_rating → V_img,0.0,0.00044995525076879113,0.00044995525076879113,1.0
traffic_sign_pixels → social_safety_rating → V_img,0.0,0.000765179366236208,0.000765179366236208,1.0
traffic_sign_pixels → beauty_rating → V_img,0.0,-0.00338502332262096,-0.00338502332262096,1.0
traffic_sign_pixels → V_img (Total),-0.024959399207640235,-0.0021698887056159607,-0.027129287913256195,0.07998325324844546
person_pixels → traffic_safety_rating → V_img,0.0,0.00019264493825617716,0.00019264493825617716,1.0
person_pixels → social_safety_rating → V_img,0.0,8.828822730103332e-05,8.828822730103332e-05,1.0
person_pixels → beauty_rating → V_img,0.0,-0.0017218771711180933,-0.0017218771711180933,1.0
person_pixels → V_img (Total),-0.0008818242119350718,-0.001440944005560883,-0.0023227682174959546,0.6203563466673757
building → traffic_safety_rating → V_img,0.0,0.0022320256874601616,0.0022320256874601616,1.0
building → social_safety_rating → V_img,0.0,0.004215175832432795,0.004215175832432795,1.0
building → beauty_rating → V_img,0.0,-0.014098238196022003,-0.014098238196022003,1.0
building → V_img (Total),-0.1979509179018637,-0.007651036676129047,-0.20560195457799274,0.037212859633718676
sidewalk → traffic_safety_rating → V_img,0.0,0.00044122155002982084,0.00044122155002982084,1.0
sidewalk → social_safety_rating → V_img,0.0,0.0058904826677781364,0.0058904826677781364,1.0
sidewalk → beauty_rating → V_img,0.0,0.017003884342088663,0.017003884342088663,1.0
sidewalk → V_img (Total),0.20514431164444738,0.02333558855989662,0.228479900204344,0.10213409818117974
trees → traffic_safety_rating → V_img,0.0,0.000782020328534691,0.000782020328534691,1.0
trees → social_safety_rating → V_img,0.0,0.0053342153108545485,0.0053342153108545485,1.0
trees → beauty_rating → V_img,0.0,0.012542014400197102,0.012542014400197102,1.0
trees → V_img (Total),0.21105917457757392,0.018658250039586342,0.22971742461716027,0.08122261544017215
grass → traffic_safety_rating → V_img,0.0,0.0004353569474330053,0.0004353569474330053,1.0
grass → social_safety_rating → V_img,0.0,0.003688123808901893,0.003688123808901893,1.0
grass → beauty_rating → V_img,0.0,0.008254521665740621,0.008254521665740621,1.0
grass → V_img (Total),0.12344498220900946,0.01237800242207552,0.13582298463108497,0.09113334135379206
sky → traffic_safety_rating → V_img,0.0,0.0012446058056220686,0.0012446058056220686,1.0
sky → social_safety_rating → V_img,0.0,0.003409393222599293,0.003409393222599293,1.0
sky → beauty_rating → V_img,0.0,-0.0006458493334452094,-0.0006458493334452094,1.0
sky → V_img (Total),0.08023589286357616,0.004008149694776152,0.08424404255835231,0.04757784138860472
water → traffic_safety_rating → V_img,0.0,0.000482521878731703,0.000482521878731703,1.0
water → social_safety_rating → V_img,0.0,0.00229839881203828,0.00229839881203828,1.0
water → beauty_rating → V_img,0.0,0.0017941003860881138,0.0017941003860881138,1.0
water → V_img (Total),0.09121670075059438,0.004575021076858097,0.09579172182745248,0.04776008813265703
