Path,Direct_Effect,Indirect_Effect,Total_Effect,Proportion_Mediated
traffic_seg → traffic_safety → V_img,0.0,2.9413858832998203,2.9413858832998203,1.0
traffic_seg → social_safety → V_img,0.0,0.5484866287308516,0.5484866287308516,1.0
traffic_seg → beauty → V_img,0.0,-3.2690327021363172,-3.2690327021363172,1.0
traffic_seg → V_img (Total),-1.670215713588813,0.22083980989435492,-1.449375903694458,-0.15236889845583498
social_seg → traffic_safety → V_img,0.0,-11.95151839002423,-11.95151839002423,1.0
social_seg → social_safety → V_img,0.0,-2.4242777398386517,-2.4242777398386517,1.0
social_seg → beauty → V_img,0.0,12.282789172594981,12.282789172594981,1.0
social_seg → V_img (Total),4.7290658049043275,-2.0930069572678995,2.636058847636428,-0.7939909836021128
beauty_seg → traffic_safety → V_img,0.0,-2.2296699485377074,-2.2296699485377074,1.0
beauty_seg → social_safety → V_img,0.0,-0.3860989122146931,-0.3860989122146931,1.0
beauty_seg → beauty → V_img,0.0,2.5130875783790785,2.5130875783790785,1.0
beauty_seg → V_img (Total),1.2791286507542123,-0.10268128237332208,1.1764473683808903,-0.08728081266792181
