,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,traffic_safety,~,traffic_seg,-0.48130426406637017,-1.0,0.035136380397408226,-13.698174331245987,0.0
1,social_safety,~,social_seg,-0.5953542433877783,-0.11312172108868601,0.16961640124913857,-3.5100039795667572,0.0004480999874640901
2,beauty,~,beauty_seg,0.45715189265489825,0.0,0.026543095135002037,17.223006221110776,0.0
3,road,~,traffic_seg,1.0,0.31465583345340004,-,-,-
4,car_pixels,~,traffic_seg,0.8966752672240264,0.28254854256790496,0.042112407760824644,21.29242460548343,0.0
5,bicycle_pixels,~,traffic_seg,0.262968027389186,0.08323266994298821,0.03070041710143354,8.56561741528721,0.0
6,truck_pixels,~,traffic_seg,0.49255160014140986,0.1557326574522747,0.03388437596392467,14.536245278687542,0.0
7,traffic_sign_pixels,~,traffic_seg,-0.010770310906710859,-0.0034104280866361866,0.029289575878823127,-0.3677182268156455,0.7130833483320282
8,person_pixels,~,social_seg,1.0,0.11146451865650618,-,-,-
9,building,~,social_seg,9.099712165820623,0.9999999999999998,1.34507027724021,6.765231765052809,1.3309575663811302e-11
10,sidewalk,~,social_seg,-4.102411464533666,-0.4559935257312433,0.6102780588538148,-6.7222004871547085,1.79001258260314e-11
11,trees,~,beauty_seg,1.0,0.0,-,-,-
12,grass,~,beauty_seg,0.7803457461907315,0.0,0.03582704041118522,21.78091567745926,0.0
13,sky,~,beauty_seg,0.6044842270488203,0.0,0.0305467259132113,19.788838540224543,0.0
14,water,~,beauty_seg,0.7208566028488738,0.0,0.033992346457911285,21.206438446966853,0.0
15,plants,~,beauty_seg,0.6371061112152432,0.0,0.03149213904310083,20.230639472379288,0.0
16,traffic_safety_rating,~,traffic_safety,1.0,0.15218233662124817,-,-,-
17,social_safety_rating,~,social_safety,1.0,0.5866961053665262,-,-,-
18,beauty_rating,~,beauty,1.0,0.2715352599761691,-,-,-
19,V_img,~,traffic_safety,2.0146758500117814,0.308488947652384,0.22740976366214796,8.85923197649522,0.0
20,V_img,~,social_safety,-0.0015976641987569637,-0.0009418601600991361,0.7159448706332826,-0.0022315464001320838,0.9982194850583874
21,V_img,~,beauty,1.600533583236724,0.43663949491774706,0.1544213473413418,10.364717124818553,0.0
22,traffic_seg,~~,social_seg,0.025884784031542957,0.7331927369919476,0.00410220707675489,6.309965231133461,2.790980779820984e-10
23,traffic_seg,~~,beauty_seg,-0.2592579082557695,-inf,0.011649947022092225,-22.253998901615187,0.0
24,traffic_seg,~~,traffic_seg,0.10026968176110669,1.0,0.013611574675836503,7.366501241898237,1.751931932858497e-13
25,social_seg,~~,beauty_seg,-0.04385207850639473,-inf,0.006685205703195419,-6.559570557249208,5.396305624572051e-11
26,social_seg,~~,social_seg,0.012430343974884808,1.0,0.0036396448236722676,3.4152629098923413,0.0006372047514955348
27,beauty,~~,beauty,0.07373210753110762,0.9999999999999998,0.011269625915354763,6.542551463408004,6.047806699882585e-11
28,beauty_seg,~~,beauty_seg,0.0,,0.00831744596629109,0.0,1.0
29,social_safety,~~,social_safety,0.33989808779580366,0.9872034762179336,152.5371375381727,0.002228297274234226,0.998222077479332
30,traffic_safety,~~,traffic_safety,0.0,0.0,0.00718252713879331,0.0,1.0
31,V_img,~~,V_img,0.3397582384066415,0.34294920308332666,0.04619967869146759,7.354125570185746,1.9229062786507711e-13
32,beauty_rating,~~,beauty_rating,0.9262775236546126,0.926268602589674,0.022652672763723392,40.89042971993523,0.0
33,bicycle_pixels,~~,bicycle_pixels,0.9939596614385016,0.9930723226541615,0.022823444401603752,43.549941187891356,0.0
34,building,~~,building,1.069349765180389e-16,1.0389181203000425e-16,0.02783683268658497,3.8414922314682425e-15,0.9999999999999969
35,car_pixels,~~,car_pixels,0.929223552403925,0.9201663210927528,0.022499346617927674,41.3000238692359,0.0
36,grass,~~,grass,1.0000303453152855,1.0,0.023601573905120302,42.371341389904515,0.0
37,person_pixels,~~,person_pixels,0.9880529860112964,0.9875756610806731,0.022778112267617633,43.377298977166724,0.0
38,plants,~~,plants,1.0000282091396004,1.0000000000000002,0.023297587096359738,42.92411076565656,0.0
39,road,~~,road,0.9124705462534122,0.9009917064737462,0.022915194001437465,39.81945543015493,0.0
40,sidewalk,~~,sidewalk,0.7969071806719941,0.79206990449119,0.01922106840813745,41.46008763452269,0.0
41,sky,~~,sky,0.9999902223126699,1.0000000000000002,0.023250290360022182,43.00979500837107,0.0
42,social_safety_rating,~~,social_safety_rating,0.6559623125779593,0.6557876799477498,152.53713844612102,0.004300344947205452,0.9965688317359147
43,traffic_safety_rating,~~,traffic_safety_rating,0.9797250954328703,0.9768405364204971,0.023316377147155384,42.01875313680019,0.0
44,traffic_sign_pixels,~~,traffic_sign_pixels,1.0000075368288743,0.9999883689802658,0.02305101474580046,43.38236506345899,0.0
45,trees,~~,trees,1.000423878510919,1.0000000000000002,0.024514895192613916,40.808817276588954,0.0
46,truck_pixels,~~,truck_pixels,0.9787033881770885,0.9757473394028525,0.02241822925502914,43.65658754755917,0.0
47,water,~~,water,0.9998692597051962,1.0000000000000002,0.023449747130873697,42.63880774842727,0.0
