,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,traffic_safety,~,traffic_seg,-2.493464479978573,-1.0,0.2096276300146673,-11.894732005471866,0.0
1,social_safety,~,social_seg,-10.838558088069695,-0.3662345343837709,4.180188986770823,-2.59283925257165,0.009518724935881684
2,beauty,~,beauty_seg,1.3803050803536534,1.0,0.0674900432676457,20.451980966426657,0.0
3,road,~,traffic_seg,1.0,0.2109810700636974,-,-,-
4,car_pixels,~,traffic_seg,1.8355344822323247,0.38787477880346205,0.16274927121778962,11.278296169847364,0.0
5,person_pixels,~,social_seg,1.0,0.020359894147868537,-,-,-
6,building,~,social_seg,16.348574460899112,0.3331440726737359,6.278582523722668,2.603863913411333,0.009217934969060426
7,trees,~,beauty_seg,1.0,0.28803385665191644,-,-,-
8,grass,~,beauty_seg,0.8012234969623795,0.23091459524922675,0.05001330091784786,16.020208269445238,0.0
9,traffic_safety_rating,~,traffic_safety,1.0,0.5269165462618953,-,-,-
10,social_safety_rating,~,social_safety,1.0,0.6036882166595475,-,-,-
11,beauty_rating,~,beauty,1.0,0.39779723393389854,-,-,-
12,V_img,~,traffic_safety,1.3041835530632664,0.6865946821124179,0.14953139640606197,8.721804145484949,0.0
13,V_img,~,social_safety,-0.7619742460317208,-0.4592062768284888,0.16088618984734313,-4.73610722430548,2.1786235393506104e-06
14,V_img,~,beauty,0.36570081542585875,0.14535722074584986,0.08767082343566097,4.1712944066285,3.0287424828134846e-05
15,traffic_seg,~~,social_seg,0.008164083773004606,1.8953077053684086,0.0032026563516552435,2.5491600952552917,0.010798271676247584
16,traffic_seg,~~,beauty_seg,-0.1091807751014929,-1.7924133129711453,0.009808025728363421,-11.131779026091436,0.0
17,traffic_seg,~~,traffic_seg,0.04466125750419815,1.0,0.0074628157500431615,5.984504909953772,2.1704904540342795e-09
18,social_seg,~~,beauty_seg,-0.017514430644373764,-2.9812008379257073,0.006754937823313035,-2.5928337313978087,0.00951887773954918
19,social_seg,~~,social_seg,0.0004154554890412152,1.0,0.00033388221023013503,1.2443175319539685,0.2133827210466226
20,beauty,~~,beauty,0.0,0.0,0.05199731666322405,0.0,1.0
21,beauty_seg,~~,beauty_seg,0.08307781720425825,1.0,0.010829624979368842,7.67134756326795,1.709743457922741e-14
22,social_safety,~~,social_safety,0.31506688664861676,0.8658722658247027,0.06743724951124347,4.672000844153871,2.982797335793208e-06
23,traffic_safety,~~,traffic_safety,0.0,0.0,0.014797661944825622,0.0,1.0
24,V_img,~~,V_img,0.5232534693516437,0.5222737882221729,0.023158925992996522,22.5940300291683,0.0
25,beauty_rating,~~,beauty_rating,0.8419739501139767,0.8417573606745393,0.0556071103168206,15.141480024797232,0.0
26,building,~~,building,0.8894656914839938,0.8890150268423567,0.029537226429057678,30.113378911530283,0.0
27,car_pixels,~~,car_pixels,0.8496958907057048,0.8495531559681655,0.021349310408014275,39.79968787876818,0.0
28,grass,~~,grass,0.9468739193700292,0.946678449700886,0.021936641058957713,43.164033945853994,0.0
29,person_pixels,~~,person_pixels,1.0018285555565793,0.9995854747102877,0.02308600622405819,43.39549014195305,0.0
30,road,~~,road,0.9586691300064109,0.9554869880747772,0.02230401151899708,42.9819151208247,0.0
31,social_safety_rating,~~,social_safety_rating,0.6345713458735317,0.6355605370664152,0.06590779265146365,9.628168693490771,0.0
32,traffic_safety_rating,~~,traffic_safety_rating,0.7224481877923126,0.7223589532754363,0.025584763432856858,28.23743864820269,0.0
33,trees,~~,trees,0.9183000733491731,0.917036497422223,0.021922901234109612,41.887707448068596,0.0
