,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,traffic_safety,~,traffic_seg,-0.53612028315789,-0.3232434562316556,0.03627210109985582,-14.780513587210985,0.0
1,social_safety,~,social_seg,-0.572819055433638,-0.40994566125580206,0.16644989227738524,-3.441390364348243,0.0005787329476443226
2,beauty,~,beauty_seg,0.4737588624986591,0.0,0.02712128839934613,17.46815473901354,0.0
3,road,~,traffic_seg,1.0,0.3388214013215686,-,-,-
4,car_pixels,~,traffic_seg,0.9040896859105755,0.3066667023952991,0.04187716273847646,21.589086432025987,0.0
5,bicycle_pixels,~,traffic_seg,0.2595477802157401,0.08839774523694471,0.031120142795944973,8.340186030290953,0.0
6,truck_pixels,~,traffic_seg,0.5090131104986895,0.1731858776299423,0.034311635952661526,14.834999741374055,0.0
7,traffic_sign_pixels,~,traffic_seg,-0.004657565985759579,-0.001586847414322339,0.029881312168656343,-0.15586885740878575,0.8761363934233855
8,person_pixels,~,social_seg,1.0,0.1124705913872752,-,-,-
9,building,~,social_seg,8.998084691018468,0.9999999999999998,1.3185361495714223,6.824298821034512,8.835598919176846e-12
10,sidewalk,~,social_seg,-4.050637627904303,-0.4547218456073721,0.5974668316376973,-6.77968619077054,1.2043699371133698e-11
11,trees,~,beauty_seg,1.0,0.0,-,-,-
12,grass,~,beauty_seg,0.781880066606735,0.0,0.036020723106878365,21.706395628568714,0.0
13,sky,~,beauty_seg,0.6046677584477068,0.0,0.03069743143702875,19.69766622554059,0.0
14,water,~,beauty_seg,0.7216266221428385,0.0,0.03416332228557311,21.122846779642757,0.0
15,plants,~,beauty_seg,0.6384710745399275,0.0,0.0316781447337352,20.154938992997327,0.0
16,traffic_safety_rating,~,traffic_safety,1.0,0.5641694083186314,-,-,-
17,social_safety_rating,~,social_safety,1.0,0.1572083069259982,-,-,-
18,beauty_rating,~,beauty,1.0,0.8996452829092234,-,-,-
19,V_img,~,traffic_safety,-0.18641450991261402,-0.10527951179836839,0.039451726208191304,-4.725129362506422,2.2996891355653304e-06
20,V_img,~,social_safety,0.590579519251722,0.09279866903356701,0.15394709971592865,3.836249726936424,0.00012492737950275945
21,V_img,~,beauty,0.16846442409436782,0.15147147070066838,0.01652447633973897,10.194841919379948,0.0
22,V_img,~,traffic_seg,-0.9370458495454737,-0.3190747912429594,0.08231920169861595,-11.383077461863254,0.0
23,V_img,~,social_seg,-0.3238344191664512,-0.03641624895411699,0.26914200843975183,-1.203210234784806,0.22889497528739233
24,V_img,~,beauty_seg,0.5958781125107314,0.0,0.05345043285207298,11.148237361308349,0.0
25,traffic_seg,~~,social_seg,0.025217641819472825,0.6578301210051786,0.003979621296302267,6.336693854907132,2.3474777677279235e-10
26,traffic_seg,~~,beauty_seg,-0.2578290697060461,-inf,0.011610345887862968,-22.20683795074222,0.0
27,traffic_seg,~~,traffic_seg,0.11607806665525464,1.0,0.013644290078440362,8.5074464101408,0.0
28,social_seg,~~,beauty_seg,-0.04361343895474855,-inf,0.0065975263754633,-6.610574398056165,3.82831544243345e-11
29,social_seg,~~,social_seg,0.012659928916805377,0.9999999999999999,0.003673879927736557,3.445928871485768,0.000569100131693423
30,beauty,~~,beauty,0.8093421195238426,1.0,0.012157090046284647,66.57367152632168,0.0
31,beauty_seg,~~,beauty_seg,0.0,,0.00825417587365001,0.0,1.0
32,social_safety,~~,social_safety,0.020564018018827204,0.8319445548175433,0.022848295550661743,0.9000241603287382,0.3681073934190868
33,traffic_safety,~~,traffic_safety,0.28594820715238367,0.8955136680034137,0.02415152853406449,11.839756093997474,0.0
34,V_img,~~,V_img,0.5155037156929254,0.5149261394202256,0.02368492771957608,21.765053361133372,0.0
35,beauty_rating,~~,beauty_rating,0.19063376821764572,0.19063836493918335,0.011770624949737537,16.195721893738597,0.0
36,bicycle_pixels,~~,bicycle_pixels,0.9928770056151837,0.9921858386370241,0.022794292070078107,43.558141771595864,0.0
37,building,~~,building,1.8386843972273014e-16,1.7938072318735732e-16,0.02780181322036894,6.613541291666753e-15,0.9999999999999947
38,car_pixels,~~,car_pixels,0.9140013372115102,0.9059555336419931,0.02198831252987635,41.567598055924236,0.0
39,grass,~~,grass,0.999744293667929,1.0,0.023591117648677776,42.377996181184926,0.0
40,person_pixels,~~,person_pixels,0.9881539278209753,0.9873503660729964,0.022780546276908554,43.37709534117881,0.0
41,plants,~~,plants,1.000122494961086,0.9999999999999998,0.023298101415944128,42.92721012166777,0.0
42,road,~~,road,0.8950554290551819,0.8852000580064884,0.022232267463690534,40.25929566009028,0.0
43,sidewalk,~~,sidewalk,0.7968644901370995,0.7932280431274253,0.0192131643469582,41.47492186635998,0.0
44,sky,~~,sky,0.9999836147795842,1.0,0.02324736631963736,43.01492052851896,0.0
45,social_safety_rating,~~,social_safety_rating,0.9754261627052713,0.9752855482334609,0.03203325815897711,30.450419930245655,0.0
46,traffic_safety_rating,~~,traffic_safety_rating,0.6839078544845044,0.6817128787174052,0.025008999791673748,27.346469677082073,0.0
47,traffic_sign_pixels,~~,traffic_sign_pixels,0.9999925588187003,0.9999974819152837,0.023050815352439347,43.382090545855434,0.0
48,trees,~~,trees,1.0004608189583202,0.9999999999999998,0.02449430285202855,40.844633340304284,0.0
49,truck_pixels,~~,truck_pixels,0.97265285507005,0.9700066517895468,0.022248883453785607,43.71692885383145,0.0
50,water,~~,water,1.0000800291488703,1.0,0.023450165008253396,42.647035905898335,0.0
